title,total_revenue
Star Wars: Episode VII - The Force Awakens,935644139
Avengers: Endgame,858373000
Spider-Man: No Way Home,804059711
Avatar,749766139
Top Gun: Maverick,716981130
Black Panther,700059566
Avengers: Infinity War,678815482
Avatar: The Way of Water,670104560
Jurassic World,652197981
Star Wars: Episode VIII - The Last Jedi,620181382
The Avengers,619257177
Incredibles 2,608581744
The Lion King,543638043
The Dark Knight,533345358
Rogue One: A Star Wars Story,532177324
Star Wars: Episode IX - The Rise of Skywalker,515202542
Beauty and the Beast,504014165
Finding Dory,486295561
Frozen II,477373578
Avengers: Age of Ultron,455530367
Black Panther: Wakanda Forever,452929653
The Dark Knight Rises,448139099
Shrek 2,436721703
Toy Story 4,434038008
Captain Marvel,426829839
The Hunger Games: Catching Fire,424668047
Pirates of the Caribbean: Dead Man's Chest,419867749
Jurassic World: Fallen Kingdom,416769345
Wonder Woman,412563408
Toy Story 3,410171027
Doctor Strange in the Multiverse of Madness,409762280
Captain America: Civil War,408084349
The Hunger Games,408010692
Iron Man 3,406609688
Jumanji: Welcome to the Jungle,404515480
Transformers: Revenge of the Fallen,402111870
Spider-Man,401487933
Frozen,400474112
Spider-Man: Far from Home,390532085
Guardians of the Galaxy Vol. 2,389813101
Harry Potter and the Deathly Hallows: Part 2,381011219
Star Wars: Episode III - Revenge of the Sith,380270577
The Lord of the Rings: The Return of the King,377027325
Spider-Man 2,372805035
The Passion of the Christ,369895386
The Batman,369738816
Minions: The Rise of Gru,369308085
The Secret Life of Pets,368384330
Despicable Me 2,368065385
The Jungle Book,364001123
Deadpool,363042311
Aladdin,355559216
Inside Out,353612437
Transformers: Dark of the Moon,352390543
Furious 7,351032910
American Sniper,350126444
Thor: Love and Thunder,343116863
Zootopia,341268248
The Lord of the Rings: The Two Towers,339785181
The Hunger Games: Mockingjay - Part 1,337135885
Spider-Man 3,336104636
Minions,336045770
Joker,335620492
Finding Nemo,335298792
Aquaman,335061807
Spider-Man: Homecoming,334201140
Alice in Wonderland,332430200
Batman v Superman: Dawn of Justice,330360194
Guardians of the Galaxy,328095589
It,327481748
Suicide Squad,325100054
Shrek the Third,321012359
Transformers,319071806
Iron Man,318505224
Deadpool 2,318482400
Indiana Jones and the Kingdom of the Crystal Skull,317023851
Jumanji: The Next Level,316831246
Thor: Ragnarok,315058289
The Lord of the Rings: The Fellowship of the Ring,313364113
Iron Man 2,312128345
Harry Potter and the Sorcerer's Stone,310393154
Pirates of the Caribbean: At World's End,306483088
Skyfall,303472168
The Hobbit: An Unexpected Journey,303003568
Pirates of the Caribbean: The Curse of the Black Pearl,302590475
Star Wars: Episode II - Attack of the Clones,302191306
Harry Potter and the Half-Blood Prince,301959197
The Twilight Saga: Eclipse,300531751
The Twilight Saga: New Moon,296623634
Harry Potter and the Deathly Hallows: Part 1,295001070
Inception,292576195
The Twilight Saga: Breaking Dawn - Part 2,292324737
Harry Potter and the Order of the Phoenix,292004738
Man of Steel,291045518
Harry Potter and the Goblet of Fire,290013036
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",287482269
Up,287002967
The Hunger Games: Mockingjay - Part 2,281723902
The Matrix Reloaded,281519061
The Twilight Saga: Breaking Dawn - Part 1,281287133
Meet the Fockers,279200300
The Hangover,277322503
Gravity,274092705
Dr. Seuss' the Grinch,270620950
Sing,270329045
Shrek,267665011
Despicable Me 3,264624300
Monsters University,263763344
Harry Potter and the Chamber of Secrets,261753713
The Amazing Spider-Man,261569291
How the Grinch Stole Christmas,260044825
The Hobbit: The Desolation of Smaug,258366855
The Lego Movie,257760692
Star Trek,257730019
The Incredibles,256887647
I Am Legend,256393010
The Blind Side,255951749
Captain America: The Winter Soldier,255447104
The Hobbit: The Battle of the Five Armies,255119788
The Hangover Part II,254464305
Despicable Me,251513985
Night at the Museum,250860439
"Monsters, Inc.",250822376
Harry Potter and the Prisoner of Azkaban,249367187
Moana,248757044
Transformers: Age of Extinction,245438974
Bruce Almighty,242601579
Cars,242140418
Fast & Furious 6,238679850
Shrek Forever After,238395990
Pirates of the Caribbean: On Stranger Tides,237710309
Maleficent,236412469
X-Men: The Last Stand,234337076
War of the Worlds,234271354
Fantastic Beasts and Where to Find Them,234037575
X-Men: Days of Future Past,233904517
Brave,233558247
Doctor Strange,232641920
Oz the Great and Powerful,232613195
Justice League,229024295
Star Trek Into Darkness,228778661
The Martian,228395947
Hancock,227860802
The Bourne Ultimatum,227471070
Logan,226258569
The Fate of the Furious,225764765
Signs,225484260
Shang-Chi and the Legend of the Ten Rings,222935447
Mission: Impossible - Fallout,220159104
WALL·E,219555323
Alvin and the Chipmunks: The Squeakquel,219553378
Ted,218665740
King Kong,218080025
Halloween,217611166
Big Hero 6,217599438
How to Train Your Dragon,217581231
Alvin and the Chipmunks,217313244
The Da Vinci Code,216824762
Ant-Man and the Wasp,216648740
Madagascar 3: Europe's Most Wanted,216391482
Bohemian Rhapsody,216303339
National Treasure: Book of Secrets,216001145
Kung Fu Panda,215434591
X2: X-Men United,214946070
Venom,214035506
The Lorax,214030500
A Star Is Born,213938866
Solo: A Star Wars Story,213767512
Mission: Impossible II,212031395
It Chapter Two,211593228
Fantastic Four,210697848
300,210614939
Coco,210067015
Fast Five,209837675
Austin Powers in Goldmember,209684944
Mission: Impossible - Ghost Protocol,209397903
Sherlock Holmes,209028679
Dawn of the Planet of the Apes,208491141
Charlie and the Chocolate Factory,206459076
Venom: Let There Be Carnage,205864456
Wedding Crashers,205538618
Batman Begins,205343774
Bad Boys for Life,204417855
Thor: The Dark World,204041762
World War Z,202359711
The Mummy Returns,202019785
The Amazing Spider-Man 2,201911219
Ratatouille,201423520
Ralph Breaks the Internet,201091711
Godzilla,200676069
Superman Returns,200081192
Spectre,200074609
Jurassic World: Dominion,199037215
Monsters vs. Aliens,198351526
Happy Feet,198000317
Cinderella,197584850
Ice Age: Dawn of the Dinosaurs,196472300
Ice Age: The Meltdown,195306682
Mission: Impossible - Rogue Nation,195042377
Tangled,193720651
Madagascar,193202933
Twilight,192769853
My Big Fat Greek Wedding,191923473
22 Jump Street,191293726
Teenage Mutant Ninja Turtles,191204754
Sonic the Hedgehog 2,190916413
Men in Black II,190418803
Spider-Man: Into the Spider-Verse,190241310
Cars 2,188573541
Dunkirk,188045546
Pearl Harbor,188043307
A Quiet Place,188024361
Interstellar,188020017
Gladiator,187705427
Ant-Man and the Wasp: Quantumania,187433193
The Croods,187168425
Sherlock Holmes: A Game of Shadows,186848418
Wreck-It Ralph,186816706
The Day After Tomorrow,186716750
Mr. & Mrs. Smith,186283815
Pitch Perfect 2,183785415
The Revenant,183609490
Black Widow,183489311
The Simpsons Movie,183109321
Lincoln,181591780
Ocean's Eleven,181458443
Jurassic Park III,181171875
Thor,181030624
Madagascar: Escape 2 Africa,180010950
X-Men Origins: Wolverine,179869145
Ant-Man,178353078
Men in Black 3,177747606
Hitch,177461144
Home,177352879
Night at the Museum: Battle of the Smithsonian,177211996
How to Train Your Dragon 2,176983845
Captain America: The First Avenger,176654505
Jurassic World Dominion,176552610
Puss in Boots: The Last Wish,176421270
Ice Age,176387405
The Bourne Supremacy,176087450
Get Out,175837935
The Lego Batman Movie,175750384
Rise of the Planet of the Apes,175691683
The Karate Kid,175566947
Us,175005930
The Boss Baby,174967430
The Perfect Storm,174290703
Crazy Rich Asians,174052657
The Greatest Showman,174045042
Fast & Furious Presents: Hobbs & Shaw,173810100
F9: The Fast Saga,173037025
Pirates of the Caribbean: Dead Men Tell No Tales,172558876
Mary Poppins Returns,171958438
Elf,171759000
True Grit,171050328
John Wick: Chapter 3 - Parabellum,171015687
A Beautiful Mind,170742341
Rush Hour 2,170629995
TRON: Legacy,170106686
Hotel Transylvania 2,169498870
Hidden Figures,169323813
Bridesmaids,169106725
National Treasure,168521875
Quantum of Solace,168156392
Kong: Skull Island,168052812
Black Adam,168043265
Gone Girl,167762331
Hotel Transylvania 3: Summer Vacation,167510016
Chicago,167408975
The Help,167094661
Casino Royale,166758648
Meet the Parents,166244045
Fifty Shades of Grey,166167230
2012,165609787
Knives Out,165363234
Kung Fu Panda 2,165249063
Eternals,164698811
Catch Me If You Can,164545504
Clash of the Titans,163214888
The SpongeBob Movie: Sponge Out of Water,162994032
What Women Want,162969240
Planet of the Apes,162881729
Django Unchained,162805434
The Polar Express,162775358
The Pursuit of Happyness,162586036
Jason Bourne,162192920
Grown Ups,161438581
Ice Age: Continental Drift,161321843
Straight Outta Compton,161058685
Shark Tale,160861908
Wild Hogs,160688727
Die Another Day,160353661
The Heat,159582188
Fantastic Beasts: The Crimes of Grindelwald,159555901
Sing 2,159533500
1917,159227644
Star Trek Beyond,158848340
The Proposal,158545691
How to Train Your Dragon: The Hidden World,158299505
The Longest Yard,158119500
No Time to Die,158060806
The Secret Life of Pets 2,157332265
X-Men,156928847
A Quiet Place Part II,156850952
What Lies Beneath,155464351
San Andreas,155190832
X-Men: Apocalypse,155149510
Snow White and the Huntsman,155136755
Fast & Furious,155064265
Over the Hedge,155019340
Horton Hears a Who!,154466039
Trolls,153684900
Mad Max: Fury Road,153636344
Cars 3,152901115
Sex and the City,152647258
La La Land,151101803
Divergent,150947895
Elvis,150943593
We're the Millers,150394119
Terminator 3: Rise of the Machines,150368296
Daddy's Home,150357137
Scooby-Doo,150295456
G.I. Joe: The Rise of Cobra,150201498
American Hustle,150117807
Neighbors,150086800
Puss in Boots,149260504
Les Misérables,149139951
Knocked Up,148761765
Little Fockers,148438600
Megamind,148415853
Gran Torino,148095302
Talladega Nights: The Ballad of Ricky Bobby,148000020
Uncharted,147747500
Hotel Transylvania,147613984
Scary Movie,146886910
War for the Planet of the Apes,146843711
X-Men: First Class,146372861
Sonic the Hedgehog,146066470
Paul Blart: Mall Cop,145516790
American Pie 2,145103595
Taken,144966929
The Great Gatsby,144840419
"I, Robot",144763065
The Fast and the Furious,144533925
Pokémon Detective Pikachu,144105346
Mamma Mia!,143762955
Rio,143619809
Kung Fu Panda 3,143517851
Juno,143454918
Marley & Me,143146360
The Meg,143005856
Once Upon a Time... In Hollywood,142502728
Lilo & Stitch,141358594
Slumdog Millionaire,141313054
The Smurfs,141300692
xXx,141134203
Charlie's Angels,141018067
Taken 2,139854287
Ocean's 8,139377762
The Matrix Revolutions,139270910
The Chronicles of Narnia: Prince Caspian,139077570
Rush Hour 3,138656000
Cheaper by the Dozen,138608443
The Santa Clause 2,138394397
Bad Boys II,138185866
Split,138141585
A Christmas Carol,137562562
The Conjuring,137400141
21 Jump Street,137334652
Shazam!,137046656
Ready Player One,137018455
Click,136809023
Robin Hood,136094358
Argo,136024128
The King's Speech,135453143
The Incredible Hulk,134533885
Identity Thief,134506920
Live Free or Die Hard,134501500
Wanted,134327125
Ride Along,134202565
Anger Management,133603814
Mission: Impossible III,133501348
Troy,133259341
Alvin and the Chipmunks: Chipwrecked,133110742
Grown Ups 2,133006483
The Wolverine,132556852
Angels & Demons,132553144
Chicken Little,132519980
Wonder,132422809
The Departed,132384315
Hulk,132135870
Silver Linings Playbook,132092958
Minority Report,132064714
Fantastic 4: Rise of the Silver Surfer,131892723
The Last Airbender,131601062
Rio 2,131492458
The Grudge,131287516
Get Smart,130319208
The Divergent Series: Insurgent,130179071
Transformers: The Last Knight,130168683
American Gangster,130164645
The Peanuts Movie,130081684
Ghostbusters: Afterlife,128930996
Bringing Down the House,128828301
The Ring,128637115
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,128504698
Ghostbusters,128350574
Kingsman: The Secret Service,128219589
Robots,128200012
Shutter Island,128012934
The Curious Case of Benjamin Button,127509326
Central Intelligence,127440871
Bumblebee,127195589
2 Fast 2 Furious,127094445
Super 8,127004179
Into the Woods,126735659
The Legend of Tarzan,126643061
Bee Movie,126631277
Lucy,126573960
Prometheus,126477084
Safe House,126181630
Mr. Deeds,125815227
Erin Brockovich,125592105
Ocean's Twelve,125544280
Terminator Salvation,125322469
Enchanted,125265432
Anchorman 2: The Legend Continues,125168368
Lone Survivor,125095601
Sully,125070033
Life of Pi,124987023
The Fault in Our Stars,124836965
The Vow,124774925
The Devil Wears Prada,124724787
Cloudy with a Chance of Meatballs,124549997
Something's Gotta Give,124215138
"Crouching Tiger, Hidden Dragon",124167350
Sweet Home Alabama,123781385
Nope,123338195
Nutty Professor II: The Klumps,123309890
Rango,123257581
G.I. Joe: Retaliation,122523060
The Bourne Identity,121481940
Superbad,121310807
Free Guy,121063061
Mamma Mia! Here We Go Again,120634935
Inglourious Basterds,120540719
50 First Dates,120179176
Seabiscuit,120170960
Four Christmases,120146040
Van Helsing,120073130
I Now Pronounce You Chuck & Larry,119725280
Cloudy With a Chance of Meatballs 2,119706224
Walk the Line,119514920
The Other Guys,118841185
The Break-Up,118703275
A Series of Unfortunate Events,118634549
The Good Dinosaur,118292054
Blades of Glory,118245842
Hairspray,118094000
Lightyear,118078927
Now You See Me,117723989
Salt,117656418
Ford v Ferrari,117624357
Horrible Bosses,117538559
The Nun,117480364
Big Momma's House,117430676
Jackass 3D,117229692
Ocean's Thirteen,117154724
The Wolf of Wall Street,116900694
G-Force,116892452
8 Mile,116732820
Lee Daniels' The Butler,116635095
Green Lantern,116601172
S.W.A.T.,116325263
Jungle Cruise,116136749
The Sum of All Fears,116010488
Creed II,115715889
Unbroken,115637895
Ghost Rider,115583387
District 9,115350033
Peter Rabbit,115253424
Girls Trip,115108515
Dumbo,114766307
Fifty Shades Darker,114434010
Fahrenheit 9/11,114317404
Dodgeball,114291297
Maleficent: Mistress of Evil,113929605
Magic Mike,113721571
Night at the Museum: Secret of the Tomb,113609370
Bad Moms,113257297
The Bourne Legacy,113203870
It's Complicated,112735375
The Village,112347167
The Hangover Part III,112200072
Bolt,112064873
Mr. Peabody & Sherman,111453785
The Last Samurai,111127263
Glass,111035005
Spy,110769608
Cast Away,110526165
Godzilla: King of the Monsters,110500138
Valentine's Day,110485654
Tropic Thunder,110461307
Fun with Dick and Jane,110289777
Spy Kids 3-D: Game Over,110186706
Trainwreck,110038130
Creed,109767581
Little Women,109480711
The Pacifier,109448316
The 40-Year-Old Virgin,109289008
Couples Retreat,109204945
Bedtime Stories,108816024
The Patriot,108589804
Scary Movie 3,108498163
Black Hawk Down,108264894
The Upside,108252517
Hop,108085305
Paranormal Activity,107918810
Freaky Friday,107909659
Baby Driver,107825862
Epic,107518682
Watchmen,107509799
The Angry Birds Movie,107509366
Captain Phillips,107009690
Black Swan,106950757
300: Rise of an Empire,106580051
The Italian Job,106114092
How to Lose a Guy in 10 Days,105811484
Smile,105792752
Remember the Titans,105664416
The Lost City,105313620
The LEGO Movie 2: The Second Part,105206508
Hustlers,104963598
Pitch Perfect 3,104897530
American Wedding,104392315
The Chronicles of Narnia: The Voyage of the Dawn Treader,104367133
Road to Perdition,104117482
Daddy's Home 2,104029443
Paranormal Activity 3,104028807
Journey 2: The Mysterious Island,103860290
The Mule,103804407
Rise of the Guardians,103412758
Dreamgirls,103365956
Independence Day: Resurgence,103120535
Bullet Train,103071589
The Expendables,103068524
Just Go with It,102952667
Murder on the Orient Express,102800191
Daddy Day Care,102680631
Daredevil,102526329
The Conjuring 2,102470008
The Maze Runner,102395506
The Mummy: Tomb of the Dragon Emperor,102277510
Noah,102235647
Annabelle: Creation,102092201
The Equalizer 2,102084362
Jackass Presents: Bad Grandpa,102003019
The Girl with the Dragon Tattoo,101935009
Pacific Rim,101802906
Journey to the Center of the Earth,101704370
Eagle Eye,101440743
This Is the End,100914724
The Aviator,100904686
The Equalizer,100892978
Charlie's Angels: Full Throttle,100621865
Arrival,100546139
Due Date,100539043
The Cat in the Hat,100483350
A Wrinkle in Time,100478608
Step Brothers,100468793
Million Dollar Baby,100434592
Fifty Shades Freed,100407760
Passengers,100307136
Evan Almighty,100289690
Gone in 60 Seconds,100273140
Yogi Bear,100246011
Cowboys & Aliens,100240551
Edge of Tomorrow,100206256
Kingsman: The Golden Circle,100201613
Collateral,100170152
Bad Teacher,99977256
Rampage,99345950
Christopher Robin,99215042
You Don't Mess with the Zohan,99204760
Olympus Has Fallen,98925640
Date Night,98669097
The Green Hornet,98482107
The Princess and the Frog,97955233
Yes Man,97690976
Sausage Party,97685686
The Addams Family,97185807
Public Enemies,97104620
Gnomeo & Juliet,97099972
The Bad Guys,97058425
The Social Network,96962694
Miss Congeniality,96961123
Downton Abbey,96854135
Rocketman,96368160
Panic Room,95923030
Fantastic Beasts: The Secrets of Dumbledore,95834383
Encanto,95827834
Zero Dark Thirty,95660114
Meet the Robinsons,95511981
Norbit,95360247
